id,username,likes,views,comments,shares,collects,repost,isCommerce,description,duration,created_at,VideoQuality,hashtags,date,sentiment,comment_count,accumulated_text
7183824296496680198,barbie_today,23500,995500,219,2481,10300,0,False,Barbie Film Reihenfolge #short #virall #viral #fy #fyp #foryou #foryoupage #foryourpage #reels #barbie #barbiemovies #foryour,58,1672614439,normal,"['short', 'virall', 'viral', 'fy', 'fyp', 'foryou', 'foryoupage', 'foryourpage', 'reels', 'barbie', 'barbiemovies', 'foryour']",2023-01-01,3.9,20,"okay jetzt hab ich wirklich die Bestätigung das ich alle barbie filme geschaut hab Die alten Barbie Filme 100x besser gewesen.. 😭 Все, я сдаюсь и завтра же начинаю пересматривать эти шедевры😍 PELICULA DE BARBIE GEHEIME TUR Es fehlt Barbie und der Popstar yh Allah jdi kngn masa kcil sampe² puny kaset ny yg lengkap bgini🙂 What about The Barbie Diaries Prinzessinnen Akademie auf die 1. have watched allll я все смотрела😎🤩🤩🤩❤️ Muss man die eig in der Reihenfolge gucken oder sind die einfach nur nach Release geordnet? dulu suka nonton dari kasett😭 Das Mit prinzessin und dorfmädchen und das mit den diamanten Schloss sind Meine 2 farvorts aber wo ist z.b. noch Tierinsel? Wo kann man die schauen …? Ich brauche noch 8 dann habe ich alle 🥰 todas son mis favoritas ❤🥰🥰 Hab halt alle heschaut Rapunzel auf 1. Oceana auf die 1☝🏻"
7184184602221677829,Styleasy,607,8709,2,25,86,0,False,#pinkoutfits #2023fashionprediction #barbiecoreoutfits #barbiecoreaesthetic #pinkaesthethic #trendsprediction #2023trends #fashiontrends #fashion #style2023 #fashiontok ,9,1672698331,normal,"['pinkoutfits', '2023fashionprediction', 'barbiecoreoutfits', 'barbiecoreaesthetic', 'pinkaesthethic', 'trendsprediction', '2023trends', 'fashiontrends', 'fashion', 'style2023', 'fashiontok']",2023-01-02,5.0,2,YOU WERE ON POINT AND THE BARBIE MOVIE Love it😍
7184907430986304774,𐙚,3038,105400,15,230,1320,0,False,🧚‍♀️ #shein #outfitideas #barbiecore #fyp ,20,1672866626,normal,"['shein', 'outfitideas', 'barbiecore', 'fyp']",2023-01-04,4.6,10,"Eu gosto daquele estilo anos 2000, poderia fazer um nesse estilo inspirado na barbie? AMEI, OBGGG Ameiii😍😍 lindo @Alex @Mileni💋 @Nessah Araujo 🦋⚡ @agatagambaro @dinalban.02 uosmra tá ativo p ganhar os 200 da shein, aproveita🥰😁"
7185804800846564610,Isla🤍,309,45200,1,12,49,0,False,2 ways to style a pink crop top💗 #outiftinspo #pinkcroptop #xyzbca #fypシ #outfitideas ,8,1673075568,normal,"['outiftinspo', 'pinkcroptop', 'xyzbca', 'fypシ', 'outfitideas']",2023-01-07,1.0,1,Where is it from and what’s the product code?
7187782035166072069,ÖZGÜR BALAKAR 🇹🇷,61400,2100000,3187,1721,4048,0,False,barbie koleksiyonum 💖,25,1673535922,normal,[],2023-01-12,2.9411764705882355,34,kim benimle barbie oynamak ister? Benim barbie kadar kıyafetim yok Maalesef ruhum hala çocuk gibi bende istiyorum elime versen oynarım LFSÖFMAMDNQM barbileri sayarken sürekli sayısını karıştırdığım için sürekli başa sardım ve yanlış değilse 40 tane saydım Her çocuğun hayali çok güzel ama senin gibi güzel değiller askm Bende cutie reveal alıcam hangisi daha iyi lütfen yaz ihtiyacım olan şey Ben böle barbielerim olması için nelerimi vermezdim kak mau berbi satu can i have 10😁 can I have one اول عربهي وعندها درج زي كذا Barbie Sponsor versenee ben oynarım benı al ÖZGÜR HESABIMA UĞRAR MISINNNN zatende özgür barbie kraliçesi Abla farket nolur Ztnde halisler zatende ben senle oynarimmm farket WOW😍😍😍😍😍😍💖💖💗💗 Meu sonhooo hayallerim.. 48 barbie 😂 çok güzel yaa fark ettt Ablaa bana barbie bebek onerisi verirmisinn bulamiyomm sen ck guzel odandaki barbie yazisi flnn ÖZGÜR ABLA BEN SENİN ROBLOX HESABINA İSTEK ATSAM KABUL EDER MİSİN :) 🥺 zaten de evliyiz Askomm benim takıntılık seviyem a😂 takipe al aşkm😽 ben oynarım
7188711969023659265,Hannah Paul,282,9899,4,13,72,0,False,My favourite aesthetic by farrrr 💗🌸💖🎀🌷 #lookbook #outfitideas #barbiegirl #barbiestyle #barbiecore #barbiecoreoutfits ,14,1673752450,normal,"['lookbook', 'outfitideas', 'barbiegirl', 'barbiestyle', 'barbiecore', 'barbiecoreoutfits']",2023-01-15,3.5,4,"I aspire to have this many pink outfits. I’m not quite there he WHERE IS THE 6TH SKIRT FROMM Love the track suit ❤️(I don’t know if that’s the right word, but the last one) We're currently running a Barbie-themed giveaway on our page! You should check it out! 💖"
7189726327283436842,Alexis Hoffman,598,101100,8,27,145,0,False,Style pink pants with me ☺️🎀 Details:  Jeans: H&M size 4 Top: Hollister size small Necklace: earth bound Shoes: nike  Purse: Marshall’s  Style ur own colorful pants and tag me!! Comment if you own pink pants 🎀💖 • #simplefashiondaily #casuallifestyle #comfywear #cuteandcomfy #pinkinspo #highwaistedjeans #highwaistedpants #sweatshirtweather #pinkpants #barbieaesthetic ,12,1673988621,normal,"['simplefashiondaily', 'casuallifestyle', 'comfywear', 'cuteandcomfy', 'pinkinspo', 'highwaistedjeans', 'highwaistedpants', 'sweatshirtweather', 'pinkpants', 'barbieaesthetic']",2023-01-17,4.333333333333333,6,your so pretty ❤️ you look like the nicest person ever How tall are you? Also you look great 💕💕 😁 🥰🥰🥰 what’s the pants code??I can’t find them on the website 🥲
7190022393241373979,aoi,586,93100,8,39,165,0,False,Pink inspired outfits #pinkoutfits #pinkoutfitinspo #pinktshirt #pinkhoodie #pinkpolo #pinkinspired #tshirtfinds #hoodiesfinds #polofind ,17,1674057549,normal,"['pinkoutfits', 'pinkoutfitinspo', 'pinktshirt', 'pinkhoodie', 'pinkpolo', 'pinkinspired', 'tshirtfinds', 'hoodiesfinds', 'polofind']",2023-01-18,3.75,4,pink t-shirt 3xl size san na bili yung pink vest ilan lahat yung first outfit kuya ano size suot mo? ano height mo?
7190173336482090245,🌹TEAM LULAX🌹,1982,119300,22,53,425,0,False,#greenscreen #humor #ropamuñeca #roleplay #barbie #ropabarbie #vestidosparabarbie ,8,1674092693,normal,"['greenscreen', 'humor', 'ropamuñeca', 'roleplay', 'barbie', 'ropabarbie', 'vestidosparabarbie']",2023-01-19,4.368421052631579,19,ey te quedó más hermoso que la de la foto 😍 has un vídeo de cómo lo hiciste para poderlo hacer yo ni plata tengo te quedó hermoso Las primeras donde están las rubias en la vida barbie itschaneloberlin tutorial plisss🥺🥺 que bonito 🥰 que ermoso☺️😍👏 🥰 😁 💔💔💔 🥺 🥰🥰😂 😂 😂😂😂 😂😂😂 Que onda con la cara de la barbie er moso en saña jajaja
7192351296068898053,neonailbyty,985,57000,10,94,315,0,False,Barbie💕  #costumeideas #costume #carnival #shein #barbie #barbiecosplay #fyp ,9,1674599788,normal,"['costumeideas', 'costume', 'carnival', 'shein', 'barbie', 'barbiecosplay', 'fyp']",2023-01-24,4.714285714285714,7,@Amelie.xvx Kannst du bitte die Links kommentieren? @lu🧿 Gehe als Bratz @Merlee🍾👍🏿 ga Barbie @juditcampss pretty🥰🥰🥰🥰
