id,username,likes,views,comments,shares,collects,repost,isCommerce,description,duration,created_at,VideoQuality,hashtags,date,sentiment,comment_count,accumulated_text
7184991834479856923,🧚‍♀️🧜‍♀️✨️,228,11500,1,53,30,0,False,My dream🥰 #mermaid #mermaidtail #ocean #atlantis #fantasy #underwater #aesthetic #cute #mermaidlife #dream #viral #fypシ #fypage #fypdongggggggg ,13,1672886286,normal,"['mermaid', 'mermaidtail', 'ocean', 'atlantis', 'fantasy', 'underwater', 'aesthetic', 'cute', 'mermaidlife', 'dream', 'viral', 'fypシ', 'fypage', 'fypdongggggggg']",2023-01-05,5.0,1,😍
7186811352428793134,The Magic Crafter,677900,58200000,5421,85000,25500,0,False,"And here's a winter mermaid video. Each year, I make it a point to take my og character, Mermaid Phantom, out onto the snowy shorelines of Lake Michigan for a winter video session. Here is one of the videos. #themagiccrafter #mermaidphantom #wintermermaid #icemermaid #oracle #mermaidoracle #iceprincess #mermaids ",10,1673309924,normal,"['themagiccrafter', 'mermaidphantom', 'wintermermaid', 'icemermaid', 'oracle', 'mermaidoracle', 'iceprincess', 'mermaids']",2023-01-10,3.675675675675676,37,Mermaid too dey do TikTok 😳😂 are you a real mermaid plz tell me هل من عربي هنا 😂 Are you a real mermaid though you look nice jolie comme montage. هي عروسه البحر عندها حساب ع التيك توك 🥺Is this for real Je suis Flou😳😳😳 are u guys real mamaids عروس البحر لابسه ساعة 😂😂😂 ć est pas vrai🥰🥰 Excelente Bendiciones ur beauty elle a trouvé rougea où jolie trop cool votre montage fb are mermaids real احله شي بس اني عربي هنا 😂 ههههههههههههههههههههههههههه ربي يسعدك يالغالية Mermaid actress 🥰 أول مرة اشوف حوريه معها توك توك ليش في البحر نت ☺️☺️☺️☺️☺️ incroyable de vrai this be editing or Gabarey maanyada lasheego tan mia 😳😂 is thie for real😏😏 اموووت واعرف انو لقت الروج ده وين🌚💔 يمه😳 why is mermaid having black lipstick😂 So nice beautiful 🥰🥰🥰🥰🥰🥰🥰🥰 es ce que c'est vrai c'est un déguisement sinon nous les sirènes on se connait r u real mermaid? Hello i love u mum☺️☺️ existen sirenas pero en la oscuridad del mar y no son como lo muestra el vídeo que hermosa me encantan las sirenas todo video peli historias todo 😇
7187034828666080558,Maria Iuro ⚰️,16100,113900,99,497,3918,0,False,"i'm going to make more of these hairclips, they're so cute 🫧💕 #sirencore #oceanaesthetic #mermaidcore #mermaidaesthetic ",14,1673361970,normal,"['sirencore', 'oceanaesthetic', 'mermaidcore', 'mermaidaesthetic']",2023-01-10,4.0,9,making these for summer Omg doing tomorrow! i used to make and wear these when i was younger. mako mermaids inspired me :) omggg ty for this ideaaa i have seashells but idk were to buy the clip things btw i luv the clips they look good on you Stop that’s so cute So cute. Where do you get the supplies? Hey where did u get the seashells? @spiritw22 we need to make these for the summer!!
7188885957146365189,🪩,2081,17100,7,69,562,0,False,In love with this atm ☆ #aesthetic #mermaid #mermaidcore #pinterest #fyp ,15,1673792948,normal,"['aesthetic', 'mermaid', 'mermaidcore', 'pinterest', 'fyp']",2023-01-15,3.0,4,Pinterest? que lindo é a vibe que eu quero ᴍʏ ɴᴇᴡ 𝒇ႼႸ [flushed] sayy '🌿'
7190849017276927275,CASHFORGOLD,6379,45600,68,103,1220,0,False,why is it so perfect #sirencore #coquette #coquetteaesthetic #coquettecore ,19,1674250018,normal,"['sirencore', 'coquette', 'coquetteaesthetic', 'coquettecore']",2023-01-20,3.875,16,THE PAINTING?? HELLO?? that painting is stunning Can we have a tea party please omg ♥️🤭🌟 Me when I’m older fr😔 u don’t need to she knows what she’s doing 💙💙 This is my dream living room decor I FOUND THE VIDEO a dream 🤍 THE PAINTING WHERE IS UT FROM AND WHOS THE ARTIST oh my wow i want it. my future home fr Oh my god you don’t because she did it first I want to be there Yesss 😯
7191188492284693765,Catelyn Robson,101600,741600,198,1798,7170,0,False,I love her #mermaidcore #shellpurse #siren #sirencore ,13,1674329050,normal,"['mermaidcore', 'shellpurse', 'siren', 'sirencore']",2023-01-21,3.5,2,it looks like it’d break rlly easy Omg I love it!
7191795801817943301,marie,266,6360,3,5,66,0,False,Replying to @Kaiaa <33 some looks I found at zara!! Will do a part 2 with H&M 🥰 #mermaidcore #mermaidcoreaesthetic #mermaidcorefashion #mermaidoutfit #siren ,7,1674470454,normal,"['mermaidcore', 'mermaidcoreaesthetic', 'mermaidcorefashion', 'mermaidoutfit', 'siren']",2023-01-23,1.0,1,Where is the last top from?🥰
7192645818275548462,Neen,1298,20200,6,20,529,0,False,"May you feel beautiful, be happy and free… just like the ocean!! 😉🐬#mermaidcore #sustainablebeauty #mermaidmakeup #weareneen #mermaidaesthetic ",13,1674668375,normal,"['mermaidcore', 'sustainablebeauty', 'mermaidmakeup', 'weareneen', 'mermaidaesthetic']",2023-01-25,4.5,2,Cute Gorgeous look!
7193085308852899077,Morbid Mills,29600,137200,159,1561,4579,0,False,Living out my siren fantasy. ##goth##gothic##travel##siren##foryoupage##mermaid##darkacademia##darkfeminine,9,1674770688,normal,"['goth', 'gothic', 'travel', 'siren', 'foryoupage', 'mermaid', 'darkacademia', 'darkfeminine']",2023-01-26,4.066666666666666,15,This is my pirates of the Caribbean fantasy This reminds me of the scene in King Arthur on Netflix & sirens are involved😳 Omg in love where is this please!!!! was it cold? 😯 H2O I love caves like this!!... Phantom of the opera type cave THE CAVE IN PHANTOM OF THE OPERA This is we’re i come from 🧜‍♀️🖤✨ I wanna live there I want to live there This would make for the dopest photo shoot WHERE IS THIS @masha.rasteryasha complete with prince of Egypt soundtrack 🥹
7193928721735322926,nazlia yunus,112400,785800,390,4910,30600,0,False,Mermaid makeup 🐚✨ #mermaidmakeup #mermaidcore #angelicmakeup #douyinmakeuptutorial #aestheticmakeup #sparklymakeuplook #glittermakeuptutorial #blueeyeshadowlook #shimmerymakeup ,24,1674967068,normal,"['mermaidmakeup', 'mermaidcore', 'angelicmakeup', 'douyinmakeuptutorial', 'aestheticmakeup', 'sparklymakeuplook', 'glittermakeuptutorial', 'blueeyeshadowlook', 'shimmerymakeup']",2023-01-29,3.7435897435897436,39,"just stunning I could see kali uchis wearing this makeup Yesss let’s have mermaid core be a thing for summer plssss Hair tutorial next I love the wet look 😭 what was the glow serum you used? In love with this look omg wooow so beautiful!! A vision😍 Wouldn’t be afraid of the ocean if she was in it 😍🥺 So beautiful I love it!! Can you do siren makeup and the use the song “Milk Of The Siren” by Melanie Martinez?! what is the tool u used to apply the pearls How did u stick the pearls? What did u use xx Omg where are your earrings from? 🥰 How to make hair stick like this!! Gel? Omg where is that top and necklace from 💖💖 please name all those products parece una sirena q linda Unreal!!! قلتر العيون واو اذا تعرفون من وين علموني Wow Je suis amoureuse 😳😳 Me encaaaaantaaaa 🥺 queen This is so artistic 🤩🤍 What highlighter is that ?? It’s sooo prettyyy😭 це була остання крапля, підписуючь what products did you use? Can Halle have this make up for the premier of the little mermaid please це неймовірно чарівно😍😍 so pretty <3 STUNNING what lip liner pls🥰 What eye shadow are thoses pleaseee start putting them down 🥺😍😍😍😍 So amazing 😳 I love your work so much 🥺 I love this!!! Please make a video to a Niko Rubio song ¨̮ Increíble ❤️‍🩹 AMAZING 😳😳😳"
